超凡,of Transcendence
快樂,of Joyfulness
福氣,of Bliss
炭疽,of Anthrax
嫉妒,of Envy
涅槃,of Nirvana
大膽,of Daring
猛進 ,of Daring
均衡,of Equilibrium
真理,of Truth
復甦,of Revivification
榮譽,of Honor
貪婪,of Avarice
好運,of Luck
幸運,of Luck
幸運,of Good Luck
富饒,of Prosperity
啟發,of Enlightenment
知識,of Knowledge
烏賊,of the Squid
巨鯨,of the Whale
耐久,of Sustenance
精力,of Vita
靈魂,of Spirit
希望,of Hope
八目鰻,of the Lamprey
死靈,of the Wraith
自由,of Freedom
擎天神,of Atlas
精氣,of Virility
傳送,of Transportation
加速,of Acceleration
慣性,of Inertia
自我修護,of Self-Repair
回復,of Restoration
歲月,of Ages
補充,of Replenishing
傳播,of Propogation
海妖,of the Kraken
記憶,of Memory
巨象,of the Elephant
力量,of Power
優雅 ,of Grace
優雅與力量,of Grace and Power
雪猿,of the Yeti
鳳凰,of the Phoenix
火元素,of the Efreeti
眼鏡蛇,of the Cobra
元素,of the Elements
火焰箭,of Firebolts
充能彈,of Charged Bolt
冰錐,of Icebolt
冰封屏障,of Frozen Armor
靜態力場,of Static Field
心靈傳動,of Telekinesis
冷凝盾,of Frost Shield
冰風暴,of Ice Blast
熾熱之徑,of Blaze
火球,of Fire Ball
新星,of Nova
新星盾,of Nova Shield
寒顫屏障,of Shiver Armor
火牆,of Fire Wall
附魔,of Enchant
連鎖閃電,of Chain Lightning
傳送盾,of Teleport Shield
冰河刺,of Glacial Spike
冰尖柱,of Glacial Spike
隕石,of Meteor
雷雲風暴,of Thunder Storm
能源盾,of Energy Shield
暴風雪,of Blizzard
寒冰裝甲,of Chilling Armor
九頭蛇盾,of Hydra Shield
冰凍球,of Frozen Orb
冰封球,of Frozen Orb
黎明,of Dawn
破曉,of Dawn
陽光,of Sunlight
魔法箭,of Magic Arrow
火焰箭,of Fire Arrow
內視,of Inner Sight
戳刺,of Jab
冰箭,of Cold Arrow
多重箭,of Multiple Shot
之威力一擊,of Power Strike
之劇毒戳刺,of Poison Jab
爆裂箭,of Exploding Arrow
慢速箭,of Slow Missile
之刺爆,of Impaling Strike
閃電鏢槍,of Lightning Javelin
????,of Ice Arrows
????,of Guided Arrows
之充能一擊,of Charged Strike
之瘟疫戳刺,of Plague Jab
犧牲之箭,of Immolating Arrow
疾刺,of Fending
凍結之箭,of Freezing Arrow
之閃電攻擊,of Lightning Strike
閃電之怒,of Lightning Fury
火彈,of Fire Bolt
充能彈,of Charged Bolt
冰彈,of Ice Bolt
霜之新星,of Frost Nova
冰風暴,of Ice Blast
熾烈之徑,of Blazing
火球,of Fire Ball
新星,of Nova
火牆,of Fire Wall
強化,of Enchantment
傳送,of Teleportation
冰尖柱,of Glacial Spike
隕石,of Meteor
暴風雪,of Blizzard
九頭海蛇,of Hydra
冰封球,of Frozen Orb
傷害加深,of Amplify Damage
牙,of Teeth
白骨裝甲,of Bone Armor
骷髏復甦,of Raise Skeleton
微暗靈視,of Dim Vision
削弱,of Weaken
淬毒匕首,of Poison Dagger
屍爆,of Corpse Explosion
黏土石魔,of Clay Golem
攻擊反噬,of Iron Maiden
恐懼,of Terror
骨牆,of Bone Walls
復甦骷髏法師,of Skeletal Mages
迷亂,of Confusion
偷取生命,of Life Tap
毒爆,of Poison Explosion
骨矛,of Bone Spear
鮮血石魔,of Blood Golem
吸引,of Attract
衰老,of Decrepify
骨牢,of Bone Prison
鋼鐵石魔,of Iron Golem
降低抵抗,of Lower Resistance
劇毒新星,of Poison Nova
白骨之魂,of Bone Spirit
火焰石魔,of Fire Golem
犧牲,of Sacrifice
聖光彈,of Holy Bolt
白熱,of Zeal
復仇,of Vengeance
祝福之鎚,of Blessed Hammer
轉換,of Conversion
天堂之拳,of Fist of the Heavens
狂嗥,of Howl
找尋藥劑,of Find Potion
嘲弄,of Taunt
大叫,of Shout
擊昏,of Stun
找尋物品,of Find Item
專注,of Concentration
戰嗥,of Battle Cry
戰鬥體制,of Battle Orders
殘酷嚇阻,of Grim Ward
戰鬥狂嗥,of War Cry
戰鬥指揮,of Battle Command
火風暴,of Firestorms
融化圓石,of Molten Boulder
火山爆,of Fissure
旋風屏障,of Cyclone Armor
鎌鼬風,of Twister
火山,of Volcano
龍捲風,of Tornado
末日決戰,of Armageddon
暴風,of Hurricane
傷害加深,of Amplify Damage
